time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	19.0206	16.7686	4.62957	2.14752	0.567663	lidar	0.33403	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8637	16.9607	4.63622	2.20903	0.638651	radar	6.64824	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6753	17.2143	4.81513	2.24662	0.644238	lidar	2.08201	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5763	17.4166	4.78998	2.2272	0.542419	radar	6.01666	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3531	17.6201	4.90606	2.27587	0.564573	lidar	3.77973	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2158	17.8133	4.89696	2.27783	0.510351	radar	2.26076	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0883	17.9956	4.85171	2.2932	0.499979	lidar	0.943536	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9132	18.1486	4.8176	2.33788	0.53744	radar	2.0885	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7923	18.2809	4.68837	2.35851	0.531406	lidar	1.05036	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6631	18.458	4.65718	2.36541	0.502442	radar	6.57755	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4595	18.6492	4.75558	2.39372	0.50539	lidar	0.575027	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2814	18.7876	4.72565	2.42961	0.525018	radar	1.77664	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1247	18.9202	4.66041	2.45402	0.523362	lidar	0.253286	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9573	19.0906	4.6745	2.46595	0.501698	radar	3.04157	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7376	19.2091	4.6911	2.50673	0.518117	lidar	2.73262	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5449	19.3647	4.72501	2.53103	0.521035	radar	3.26498	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3089	19.5354	4.84339	2.55644	0.519508	lidar	0.820404	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0874	19.6169	4.81102	2.60841	0.559659	radar	10.1191	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8792	19.7628	4.84588	2.62856	0.551163	lidar	0.731674	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6941	19.8851	4.78409	2.63288	0.501587	radar	3.24109	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4545	20.045	4.89258	2.64984	0.491929	lidar	1.18525	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2359	20.1922	4.93357	2.66038	0.470668	radar	5.55313	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0549	20.3181	4.88322	2.67238	0.459191	lidar	1.93141	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.823	20.4013	4.88395	2.7104	0.483122	radar	2.16956	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6093	20.5189	4.88831	2.72723	0.475476	lidar	0.600646	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3675	20.6092	4.92762	2.76343	0.501511	radar	1.23462	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
